trans_id	strand	gene_id	gene_name	gene_biotype	gene_start	gene_stop	trans_start	trans_start	CDS_length	5UTR_length	3UTR_length	transcript_length
ENST00000225792	-	ENSG00000108654	DDX5	protein_coding	64499616	64506521	403	2247	1845	402	307	2554
ENST00000261413	-	ENSG00000113048	MRPS27	protein_coding	72219409	72320261	41	1285	1245	40	1500	2785
ENST00000270776	+	ENSG00000142657	PGD	protein_coding	10399080	10420144	39	1490	1452	38	395	1885
ENST00000289316	+	ENSG00000158373	HIST1H2BD	protein_coding	26158146	26171349	25	405	381	24	384	789
ENST00000435675	+	ENSG00000138363	ATIC	protein_coding	215312091	215349763	392	2167	1776	391	108	2275
ENST00000331483	-	ENSG00000185624	P4HB	protein_coding	81843159	81860694	224	1750	1527	223	853	2603
ENST00000561157	-	ENSG00000182774	RPS17	protein_coding	82536755	82540459	32	442	411	31	1467	1909
ENST00000081029	+	ENSG00000061794	MRPS35	protein_coding	27710773	27756295	72	1043	972	71	845	1888
ENST00000300026	-	ENSG00000166794	PPIB	protein_coding	64155812	64163205	220	870	651	219	211	1081
ENST00000524463	-	ENSG00000109861	CTSC	protein_coding	88320811	88337761	90	503	414	89	5622	6125
ENST00000361851	+	ENSG00000228253	MT-ATP8	protein_coding	8366	8572	1	207	207	0	0	207
ENST00000346178	-	ENSG00000089597	GANAB	protein_coding	62624826	62646615	17	2917	2901	16	989	3906
ENST00000340384	+	ENSG00000188229	TUBB4B	protein_coding	137241213	137243707	149	1486	1338	148	151	1637
ENST00000615164	+	ENSG00000276966	HIST1H4E	protein_coding	26204552	26206038	94	405	312	93	1082	1487
ENST00000361335	+	ENSG00000212907	MT-ND4L	protein_coding	10470	10766	1	297	297	0	0	297
ENST00000528896	-	ENSG00000007202	KIAA0100	protein_coding	28614440	28645131	76	6783	6708	75	624	7407
ENST00000334220	+	ENSG00000119689	DLST	protein_coding	74881893	74903745	62	1423	1362	61	1415	2838
ENST00000419783	-	ENSG00000233276	GPX1	protein_coding	49357176	49358600	323	934	612	322	212	1146
ENST00000376588	+	ENSG00000135069	PSAT1	protein_coding	78297143	78330093	69	1181	1113	68	1007	2188
ENST00000371996	+	ENSG00000107789	MINPP1	protein_coding	87504875	87553388	42	1505	1464	41	910	2415
ENST00000375735	+	ENSG00000187240	DYNC2H1	protein_coding	103109431	103479863	145	13068	12924	144	610	13678
ENST00000231498	-	ENSG00000113569	NUP155	protein_coding	37288137	37371181	205	4380	4176	204	3763	8143
ENST00000466490	+	ENSG00000144867	SRPRB	protein_coding	133784033	133821492	286	1101	816	285	1726	2827
ENST00000229270	+	ENSG00000111669	TPI1	protein_coding	6867119	6870948	338	1198	861	337	565	1763
ENST00000381075	+	ENSG00000067057	PFKP	protein_coding	3068627	3136793	225	2555	2331	224	214	2769
ENST00000369167	-	ENSG00000203814	HIST2H2BF	protein_coding	149810406	149812359	37	417	381	36	1537	1954
ENST00000570319	-	ENSG00000004779	NDUFAB1	protein_coding	23581871	23596291	2	472	471	1	413	885
ENST00000440692	+	ENSG00000138326	RPS24	protein_coding	78033760	78056812	143	1012	870	142	1802	2814
ENST00000040738	-	ENSG00000038219	BOD1L1	protein_coding	13568738	13627723	137	9292	9156	136	1273	10565
ENST00000300648	-	ENSG00000089154	GCN1	protein_coding	120127203	120194710	14	8029	8016	13	646	8675
ENST00000534358	+	ENSG00000118058	KMT2A	protein_coding	118436490	118526832	24	11942	11919	23	4660	16602
ENST00000302503	-	ENSG00000109919	MTCH2	protein_coding	47617316	47642623	159	1070	912	158	1517	2587
ENST00000344922	+	ENSG00000154305	MIA3	protein_coding	222618086	222668012	26	5749	5724	25	2393	8142
ENST00000525634	-	ENSG00000110700	RPS13	protein_coding	17074389	17077787	147	602	456	146	44	646
ENST00000433473	-	ENSG00000131238	PPT1	protein_coding	40072705	40097703	466	1386	921	465	1356	2742
ENST00000393868	-	ENSG00000163541	SUCLG1	protein_coding	84423523	84459480	212	1252	1041	211	223	1475
ENST00000331128	-	ENSG00000184270	HIST2H2AB	protein_coding	149887524	149887916	1	393	393	0	0	393
ENST00000215754	+	ENSG00000240972	MIF	protein_coding	23894004	23895226	472	819	348	471	120	939
ENST00000529259	-	ENSG00000149806	FAU	protein_coding	65120697	65121915	103	330	228	102	795	1125
ENST00000369163	+	ENSG00000278828	HIST1H3H	protein_coding	27810064	27811300	11	421	411	10	816	1237
ENST00000361624	+	ENSG00000198804	MT-CO1	protein_coding	5904	7445	1	1542	1542	0	0	1542
ENST00000223129	-	ENSG00000106399	RPA3	protein_coding	7636518	7718607	1173	1538	366	1172	482	2020
ENST00000505490	-	ENSG00000183684	ALYREF	protein_coding	81887844	81891586	7	801	795	6	287	1088
ENST00000316939	-	ENSG00000179271	GADD45GIP1	protein_coding	12953119	12957236	25	693	669	24	1089	1782
ENST00000613854	+	ENSG00000275714	HIST1H3A	protein_coding	26020490	26020900	1	411	411	0	0	411
ENST00000617633	-	ENSG00000278053	DDX52	protein_coding	37609778	37643464	45	1844	1800	44	4518	6362
ENST00000615868	-	ENSG00000278463	HIST1H2AB	protein_coding	26033176	26033568	1	393	393	0	0	393
ENST00000361227	+	ENSG00000198840	MT-ND3	protein_coding	10059	10404	1	349	349	0	-3	346
ENST00000269576	-	ENSG00000186395	KRT10	protein_coding	40818117	40822595	11	1765	1755	10	359	2124
ENST00000287022	-	ENSG00000156467	UQCRB	protein_coding	96225920	96235634	105	440	336	104	5135	5575
ENST00000620875	-	ENSG00000131269	ABCB7	protein_coding	75053172	75156340	69	2210	2142	68	198	2408
ENST00000360803	+	ENSG00000107937	GTPBP4	protein_coding	988019	1019936	462	2366	1905	461	2709	5075
ENST00000369722	+	ENSG00000116459	ATP5F1	protein_coding	111448936	111462773	607	1377	771	606	1779	3156
ENST00000332556	+	ENSG00000185896	LAMP1	protein_coding	113297241	113323672	195	1448	1254	194	1251	2699
ENST00000295956	+	ENSG00000136068	FLNB	protein_coding	58008400	58172251	166	7974	7809	165	1489	9463
ENST00000379757	-	ENSG00000239264	TXNDC5	protein_coding	7881517	7910814	39	1337	1299	38	1627	2964
ENST00000392358	+	ENSG00000169727	GPS1	protein_coding	82051958	82057470	350	1933	1584	349	343	2276
ENST00000359611	-	ENSG00000278677	HIST1H2AM	protein_coding	27892757	27893149	1	393	393	0	0	393
ENST00000603302	+	ENSG00000138796	HADH	protein_coding	107989714	108035174	220	1215	996	219	817	2032
ENST00000216225	+	ENSG00000100387	RBX1	protein_coding	40951359	40973309	41	367	327	40	821	1188
ENST00000496455	+	ENSG00000163655	GMPS	protein_coding	155870536	155944026	336	2417	2082	335	6334	8751
ENST00000361521	-	ENSG00000097021	ACOT7	protein_coding	6264273	6394391	993	2105	1113	992	324	2429
ENST00000377617	-	ENSG00000204842	ATXN2	protein_coding	111452214	111599676	163	4104	3942	162	598	4702
ENST00000376052	+	ENSG00000134900	TPP2	protein_coding	102597023	102679958	17	3805	3789	16	1642	5447
ENST00000342016	-	ENSG00000138433	CIR1	protein_coding	174348022	174395715	94	1446	1353	93	475	1921
ENST00000370214	+	ENSG00000117528	ABCD3	protein_coding	94418455	94518663	25	2004	1980	24	1534	3538
ENST00000407426	+	ENSG00000163811	WDR43	protein_coding	28894643	28948222	57	2090	2034	56	1443	3533
ENST00000313468	+	ENSG00000110717	NDUFS8	protein_coding	68030627	68036644	108	740	633	107	51	791
ENST00000457408	-	ENSG00000158604	TMED4	protein_coding	44577894	44582259	54	737	684	53	1585	2322
ENST00000504811	+	ENSG00000133835	HSD17B4	protein_coding	119452570	119542264	185	2470	2286	184	270	2740
ENST00000342879	+	ENSG00000089327	FXYD5	protein_coding	35154773	35169880	779	1315	537	778	265	1580
ENST00000272067	+	ENSG00000143727	ACP1	protein_coding	264869	278283	97	573	477	96	979	1552
ENST00000054666	+	ENSG00000049245	VAMP3	protein_coding	7771269	7781432	116	418	303	115	1787	2205
ENST00000282003	-	ENSG00000152193	RNF219	protein_coding	78614291	78659179	60	2240	2181	59	1289	3529
ENST00000359655	+	ENSG00000156502	SUPV3L1	protein_coding	69180232	69209098	61	2421	2361	60	63	2484
ENST00000228825	-	ENSG00000111229	ARPC3	protein_coding	110434825	110450407	148	684	537	147	330	1014
ENST00000371703	+	ENSG00000148688	RPP30	protein_coding	90871716	90902190	272	1078	807	271	1511	2589
ENST00000482352	-	ENSG00000242485	MRPL20	protein_coding	1405109	1407290	74	541	468	73	508	1049
ENST00000216416	-	ENSG00000100528	CNIH1	protein_coding	54423560	54441431	105	539	435	104	4254	4793
ENST00000205061	-	ENSG00000090863	GLG1	protein_coding	74447427	74607114	21	3632	3612	20	4629	8261
ENST00000473835	+	ENSG00000163714	U2SURP	protein_coding	143001539	143060546	91	3180	3090	90	4096	7276
ENST00000340344	+	ENSG00000160194	NDUFV3	protein_coding	42893268	42913304	67	393	327	66	4283	4676
ENST00000295926	-	ENSG00000163660	CCNL1	protein_coding	157147553	157160213	120	1700	1581	119	688	2388
ENST00000471595	+	ENSG00000114054	PCCB	protein_coding	136250358	136337895	19	1671	1653	18	4419	6090
ENST00000366695	-	ENSG00000181218	HIST3H2A	protein_coding	228456979	228457873	57	449	393	56	446	895
ENST00000400485	+	ENSG00000159256	MORC3	protein_coding	36320189	36376646	77	2896	2820	76	1350	4246
ENST00000557623	+	ENSG00000119705	SLIRP	protein_coding	77708103	77721107	10	306	297	9	559	865
ENST00000266544	+	ENSG00000139180	NDUFA9	protein_coding	4649107	4694317	21	1154	1134	20	7209	8363
ENST00000329399	-	ENSG00000107438	PDLIM1	protein_coding	95237572	95291024	110	1099	990	109	353	1452
ENST00000217315	+	ENSG00000101337	TM9SF4	protein_coding	32109736	32167258	341	2218	1878	340	1814	4032
ENST00000593829	-	ENSG00000130520	LSM4	protein_coding	18306230	18323274	255	674	420	254	1234	1908
ENST00000398602	+	ENSG00000173418	NAA20	protein_coding	20017390	20033655	636	1136	501	635	468	1604
ENST00000261601	+	ENSG00000101557	USP14	protein_coding	158608	214629	92	1576	1485	91	3345	4921
ENST00000216121	-	ENSG00000184117	NIPSNAP1	protein_coding	29554808	29581337	256	1110	855	255	1127	2237
ENST00000274137	+	ENSG00000145494	NDUFS6	protein_coding	1801400	1816605	19	393	375	18	689	1082
ENST00000394053	+	ENSG00000065911	MTHFD2	protein_coding	74198562	74217565	81	1133	1053	80	3323	4456
ENST00000396512	+	ENSG00000100412	ACO2	protein_coding	41469130	41528989	18	2435	2418	17	376	2811
ENST00000264932	+	ENSG00000073578	SDHA	protein_coding	218241	256700	116	2110	1995	115	280	2390
ENST00000332118	-	ENSG00000182934	SRPRA	protein_coding	126262919	126268959	156	2072	1917	155	997	3069
ENST00000455385	-	ENSG00000008282	SYPL1	protein_coding	106090503	106112331	124	849	726	123	1302	2151
ENST00000371361	-	ENSG00000173145	NOC3L	protein_coding	94333226	94362939	102	2504	2403	101	951	3455
ENST00000368932	+	ENSG00000168438	CDC40	protein_coding	110180141	110232223	102	1841	1740	101	2092	3933
ENST00000381103	+	ENSG00000068796	KIF2A	protein_coding	62306251	62386383	486	2546	2061	485	814	3360
ENST00000610020	+	ENSG00000122484	RPAP2	protein_coding	92298965	92402056	110	1948	1839	109	15045	16993
ENST00000317089	-	ENSG00000069345	DNAJA2	protein_coding	46955362	46973788	217	1455	1239	216	1667	3122
ENST00000415949	-	ENSG00000132432	SEC61G	protein_coding	54752253	54759974	368	574	207	367	158	732
ENST00000451402	-	ENSG00000119414	PPP6C	protein_coding	125146574	125189939	222	1250	1029	221	3099	4349
ENST00000306721	+	ENSG00000144354	CDCA7	protein_coding	173354861	173368997	104	1456	1353	103	1333	2789
ENST00000377705	-	ENSG00000162408	NOL9	protein_coding	6521347	6554535	34	2142	2109	33	4507	6649
ENST00000261758	-	ENSG00000117899	MESDC2	protein_coding	80975747	80989878	88	792	705	87	3472	4264
ENST00000360614	-	ENSG00000196365	LONP1	protein_coding	5691834	5720290	159	3038	2880	158	198	3236
ENST00000304312	-	ENSG00000169020	ATP5I	protein_coding	672436	674338	92	301	210	91	64	365
ENST00000322157	+	ENSG00000141279	NPEPPS	protein_coding	47531064	47623276	238	2997	2760	237	1356	4353
ENST00000380649	-	ENSG00000084754	HADHA	protein_coding	26190635	26244726	131	2422	2292	130	615	3037
ENST00000534548	-	ENSG00000151503	NCAPD3	protein_coding	134152445	134223991	66	4562	4497	65	499	5061
ENST00000252744	+	ENSG00000130449	ZSWIM6	protein_coding	61332273	61546170	1	3648	3648	0	1853	5501
ENST00000273398	+	ENSG00000114573	ATP6V1A	protein_coding	113747019	113812056	109	1962	1854	108	2629	4591
ENST00000361427	+	ENSG00000198830	HMGN2	protein_coding	26472519	26475972	95	367	273	94	824	1191
ENST00000535309	+	ENSG00000008394	MGST1	protein_coding	16347694	16377192	40	303	264	39	1028	1331
ENST00000476371	-	ENSG00000120333	MRPS14	protein_coding	175012958	175023425	18	404	387	17	1711	2115
ENST00000393600	+	ENSG00000071859	FAM50A	protein_coding	154444126	154450654	111	1130	1020	110	222	1352
ENST00000358595	-	ENSG00000143437	ARNT	protein_coding	150809705	150876768	202	2571	2370	201	2316	4887
ENST00000548577	+	ENSG00000219200	RNASEK	protein_coding	7012417	7014532	151	564	414	150	246	810
ENST00000343813	-	ENSG00000116237	ICMT	protein_coding	6221193	6235940	30	884	855	29	3887	4771
ENST00000371785	+	ENSG00000122140	MRPS2	protein_coding	135499984	135504673	210	1100	891	209	540	1640
ENST00000366988	+	ENSG00000117691	NENF	protein_coding	212432887	212446379	58	576	519	57	373	949
ENST00000306897	+	ENSG00000169750	RAC3	protein_coding	82031624	82034202	139	717	579	138	373	1090
ENST00000376156	-	ENSG00000159063	ALG8	protein_coding	78100947	78139592	5	1408	1404	4	269	1677
ENST00000344683	+	ENSG00000147316	MCPH1	protein_coding	6406592	6648504	77	2584	2508	76	5455	8039
ENST00000421745	+	ENSG00000115760	BIRC6	protein_coding	32357028	32618899	135	14708	14574	134	995	15703
ENST00000589710	+	ENSG00000099622	CIRBP	protein_coding	1269266	1273172	213	1106	894	212	729	1835
ENST00000254630	+	ENSG00000132300	PTCD3	protein_coding	86106182	86142157	67	2136	2070	66	4598	6734
ENST00000261868	+	ENSG00000104131	EIF3J	protein_coding	44537057	44562803	139	915	777	138	1654	2569
ENST00000358739	+	ENSG00000196747	HIST1H2AI	protein_coding	27808199	27808701	12	404	393	11	99	503
ENST00000324868	-	ENSG00000139131	YARS2	protein_coding	32746544	32755902	29	1462	1434	28	660	2122
ENST00000378339	+	ENSG00000132563	REEP2	protein_coding	138439017	138446964	193	957	765	192	1213	2170
ENST00000420124	+	ENSG00000272333	KMT2B	protein_coding	35718019	35738878	1	8148	8148	0	321	8469
ENST00000196061	+	ENSG00000083444	PLOD1	protein_coding	11934753	11975537	28	2211	2184	27	729	2940
ENST00000616600	+	ENSG00000167674	CTB-50L17.10	protein_coding	4472287	4502211	65	2080	2016	64	201	2281
ENST00000576017	-	ENSG00000205544	TMEM256	protein_coding	7402983	7404039	1	81	81	0	430	511
ENST00000342756	+	ENSG00000174780	SRP72	protein_coding	56466915	56503107	722	2737	2016	721	1246	3983
ENST00000274606	-	ENSG00000145912	NHP2	protein_coding	178149460	178153967	151	612	462	150	253	865
ENST00000307877	-	ENSG00000167881	SRP68	protein_coding	76039103	76072653	163	2046	1884	162	603	2649
ENST00000493866	+	ENSG00000136521	NDUFB5	protein_coding	179604791	179627647	26	439	414	25	3607	4046
ENST00000264883	-	ENSG00000138750	NUP54	protein_coding	76114664	76148515	142	1665	1524	141	702	2367
ENST00000617429	+	ENSG00000273611	ZNHIT3	protein_coding	36486635	36495822	66	533	468	65	418	951
ENST00000382093	-	ENSG00000182551	ADI1	protein_coding	3498453	3517747	2839	3360	522	2838	510	3870
ENST00000322028	-	ENSG00000177700	POLR2L	protein_coding	839721	842545	38	241	204	37	651	892
ENST00000303575	-	ENSG00000170348	TMED10	protein_coding	75131470	75176631	53	712	660	52	3415	4127
ENST00000331200	+	ENSG00000128951	DUT	protein_coding	48331423	48343373	94	852	759	93	1295	2147
ENST00000514349	+	ENSG00000145882	PCYOX1L	protein_coding	149362240	149369653	580	1794	1215	579	999	2793
ENST00000295682	-	ENSG00000163463	KRTCAP2	protein_coding	155169408	155173333	32	520	489	31	32	552
ENST00000297591	-	ENSG00000164944	KIAA1429	protein_coding	94487693	94553523	77	5515	5439	76	1013	6528
ENST00000319942	+	ENSG00000137955	RABGGTB	protein_coding	75786201	75795079	72	1067	996	71	429	1496
ENST00000407280	+	ENSG00000216490	IFI30	protein_coding	18173667	18178117	176	928	753	175	206	1134
ENST00000622390	+	ENSG00000167468	GPX4	protein_coding	1104650	1106787	86	787	702	85	215	1002
ENST00000244020	+	ENSG00000124193	SRSF6	protein_coding	43457928	43464247	107	1141	1035	106	3184	4325
ENST00000368830	-	ENSG00000143436	MRPL9	protein_coding	151759643	151763564	86	889	804	85	407	1296
ENST00000402551	-	ENSG00000105552	BCAT2	protein_coding	48795065	48811027	622	1680	1059	621	361	2041
ENST00000370812	-	ENSG00000142892	PIGK	protein_coding	77088990	77219426	25	1212	1188	24	3384	4596
ENST00000622495	-	ENSG00000135108	FBXO21	protein_coding	117141988	117190531	76	1941	1866	75	4099	6040
ENST00000360128	+	ENSG00000198042	MAK16	protein_coding	33484750	33501260	458	1360	903	457	2631	3991
ENST00000264954	-	ENSG00000109519	GRPEL1	protein_coding	7058906	7068197	166	819	654	165	1956	2775
ENST00000450169	-	ENSG00000106355	LSM5	protein_coding	32485332	32490418	54	329	276	53	1929	2258
ENST00000314133	+	ENSG00000176340	COX8A	protein_coding	63974607	63976543	75	284	210	74	223	507
ENST00000322347	-	ENSG00000178741	COX5A	protein_coding	74919791	74938168	155	607	453	154	661	1268
ENST00000614476	-	ENSG00000122085	MTERF4	protein_coding	241087099	241102295	23	1168	1146	22	3356	4524
ENST00000357997	-	ENSG00000176915	ANKLE2	protein_coding	132725503	132761888	91	2907	2817	90	1739	4646
ENST00000379803	+	ENSG00000127511	SIN3B	protein_coding	16829407	16880353	15	3503	3489	14	1626	5129
ENST00000400809	-	ENSG00000221978	CCNL2	protein_coding	1386495	1399312	7	1569	1563	6	736	2305
ENST00000394701	+	ENSG00000164022	AIMP1	protein_coding	106316507	106349226	42	1052	1011	41	1534	2586
ENST00000382751	-	ENSG00000142207	URB1	protein_coding	32311018	32393026	117	6932	6816	116	3900	10832
ENST00000373178	+	ENSG00000116863	ADPRHL2	protein_coding	36088875	36093932	31	1122	1092	30	546	1668
ENST00000265175	+	ENSG00000138802	SEC24B	protein_coding	109433815	109540896	56	3862	3807	55	1221	5083
ENST00000586869	-	ENSG00000073536	NLE1	protein_coding	35128753	35142284	1021	1602	582	1020	3684	5286
ENST00000238651	+	ENSG00000119673	ACOT2	protein_coding	73569059	73575653	183	1634	1452	182	140	1774
ENST00000199814	-	ENSG00000086589	RBM22	protein_coding	150690794	150701107	123	1385	1263	122	957	2342
ENST00000358387	+	ENSG00000113621	TXNDC15	protein_coding	134873803	134901525	626	1708	1083	625	1840	3548
ENST00000378654	-	ENSG00000136143	SUCLA2	protein_coding	47942656	48001354	86	1477	1392	85	715	2192
ENST00000411986	+	ENSG00000116761	CTH	protein_coding	70411218	70439851	199	1320	1122	198	724	2044
ENST00000357324	-	ENSG00000105726	ATP13A1	protein_coding	19645203	19663693	28	3642	3615	27	219	3861
ENST00000423381	-	ENSG00000148660	CAMK2G	protein_coding	73812501	73874591	131	1807	1677	130	2017	3824
ENST00000434526	+	ENSG00000129103	SUMF2	protein_coding	56064224	56080670	32	994	963	31	1058	2052
ENST00000400033	+	ENSG00000178127	NDUFV2	protein_coding	9104082	9134345	118	876	759	117	66	942
ENST00000398208	-	ENSG00000160193	WDR4	protein_coding	42849226	42879555	61	1299	1239	60	823	2122
ENST00000398606	+	ENSG00000084207	GSTP1	protein_coding	67583595	67586660	250	882	633	249	83	965
ENST00000389834	-	ENSG00000103978	TMEM87A	protein_coding	42210532	42273663	266	1933	1668	265	1176	3109
ENST00000508855	-	ENSG00000134480	CCNH	protein_coding	87393417	87411294	54	821	768	53	1570	2391
ENST00000402673	-	ENSG00000152700	SAR1B	protein_coding	134601144	134632988	280	876	597	279	5806	6682
ENST00000607484	-	ENSG00000137288	UQCC2	protein_coding	33696761	33711727	42	422	381	41	892	1314
ENST00000303910	+	ENSG00000277075	HIST1H2AE	protein_coding	26216975	26217483	1	393	393	0	116	509
ENST00000399408	+	ENSG00000103222	ABCC1	protein_coding	15949577	16143074	1154	4801	3648	1153	1793	6594
ENST00000263735	+	ENSG00000119888	EPCAM	protein_coding	47369148	47387034	359	1303	945	358	421	1724
ENST00000379540	+	ENSG00000086102	NFX1	protein_coding	33290511	33371157	63	3425	3363	62	1179	4604
ENST00000532642	+	ENSG00000117410	ATP6V0B	protein_coding	43974944	43978213	98	883	786	97	802	1685
ENST00000380516	-	ENSG00000137776	SLTM	protein_coding	58879045	58933653	89	3193	3105	88	954	4147
ENST00000053468	-	ENSG00000048544	MRPS10	protein_coding	42206801	42217865	17	622	606	16	1488	2110
ENST00000627653	+	ENSG00000143198	MGST3	protein_coding	165632240	165656133	1	501	501	0	629	1130
ENST00000262135	-	ENSG00000103494	RPGRIP1L	protein_coding	53597683	53703889	95	3802	3708	94	4393	8195
ENST00000341695	-	ENSG00000138777	PPA2	protein_coding	105369077	105474081	32	1036	1005	31	648	1684
ENST00000358039	-	ENSG00000007341	ST7L	protein_coding	112523518	112619418	306	2033	1728	305	2495	4528
ENST00000317615	+	ENSG00000128789	PSMG2	protein_coding	12702426	12725740	683	1477	795	682	209	1686
ENST00000299106	+	ENSG00000166086	JAM3	protein_coding	134068925	134152001	160	1092	933	159	2820	3912
ENST00000196371	-	ENSG00000083720	OXCT1	protein_coding	41730065	41870519	162	1724	1563	161	1664	3388
ENST00000372159	-	ENSG00000125485	DDX31	protein_coding	132592997	132670401	153	2708	2556	152	1869	4577
ENST00000576409	-	ENSG00000123472	ATPAF1	protein_coding	46632737	46668454	64	1119	1056	63	3039	4158
ENST00000331434	+	ENSG00000182307	C8orf33	protein_coding	145052378	145056030	115	804	690	114	1873	2677
ENST00000540534	-	ENSG00000197457	STMN3	protein_coding	63639705	63652766	209	718	510	208	1633	2351
ENST00000409012	-	ENSG00000176058	TPRN	protein_coding	137191617	137200798	88	2223	2136	87	495	2718
ENST00000247001	-	ENSG00000105705	SUGP1	protein_coding	19276511	19320844	349	2286	1938	348	137	2423
ENST00000272139	-	ENSG00000143793	C1orf35	protein_coding	228100731	228103462	236	1027	792	235	400	1427
ENST00000216037	-	ENSG00000100219	XBP1	protein_coding	28794555	28800597	74	859	786	73	991	1850
ENST00000368320	-	ENSG00000132680	KIAA0907	protein_coding	155913045	155934399	27	1721	1695	26	2778	4499
ENST00000321556	+	ENSG00000158828	PINK1	protein_coding	20633455	20651511	95	1840	1746	94	820	2660
ENST00000381031	+	ENSG00000075234	TTC38	protein_coding	46267964	46294008	77	1486	1410	76	1124	2610
ENST00000321897	+	ENSG00000137411	VARS2	protein_coding	30914205	30926459	633	3824	3192	632	249	4073
ENST00000281701	-	ENSG00000143748	NVL	protein_coding	224227334	224330387	261	2831	2571	260	292	3123
ENST00000326925	+	ENSG00000178057	NDUFAF3	protein_coding	49021011	49023495	1135	1689	555	1134	323	2012
ENST00000267935	+	ENSG00000140365	COMMD4	protein_coding	75335891	75340273	200	799	600	199	268	1067
ENST00000282251	-	ENSG00000152404	CWF19L2	protein_coding	107326345	107457844	29	2713	2685	28	565	3278
ENST00000498603	+	ENSG00000106803	SEC61B	protein_coding	99222064	99230615	268	396	129	267	191	587
ENST00000297151	-	ENSG00000164609	SLU7	protein_coding	160401641	160419394	389	2149	1761	388	1644	3793
ENST00000379303	-	ENSG00000123130	ACOT9	protein_coding	23702253	23743273	130	1476	1347	129	1641	3117
ENST00000253861	+	ENSG00000131558	EXOC4	protein_coding	133253073	134065759	30	2954	2925	29	1231	4185
ENST00000232607	+	ENSG00000114491	UMPS	protein_coding	124730366	124749273	107	1549	1443	106	5189	6738
ENST00000629020	+	ENSG00000146416	AIG1	protein_coding	143060899	143190597	28	432	405	27	3204	3636
ENST00000291842	+	ENSG00000160410	SHKBP1	protein_coding	40576851	40591397	50	2173	2124	49	190	2363
ENST00000382708	+	ENSG00000092010	PSME1	protein_coding	24136200	24138964	64	816	753	63	320	1136
ENST00000271764	-	ENSG00000143486	EIF2D	protein_coding	206591642	206612459	118	1872	1755	117	133	2005
ENST00000589123	+	ENSG00000141905	NFIC	protein_coding	3359563	3469217	121	1620	1500	120	6448	8068
ENST00000530167	-	ENSG00000188486	H2AFX	protein_coding	119093854	119095467	74	505	432	73	1109	1614
