DMSO-1	DMSO-2	RocA-003	RocA-03	RocA-3
ENST00000316059	ENST00000255759	ENST00000360280	ENST00000361478	ENST00000380591
ENST00000380916	ENST00000316059	ENST00000398846	ENST00000350030	ENST00000361478
ENST00000360612	ENST00000380916	ENST00000245615	ENST00000509093	ENST00000350030
ENST00000233336	ENST00000360612	ENST00000312579	ENST00000374767	ENST00000509093
ENST00000360280	ENST00000233336	ENST00000380591	ENST00000313552	ENST00000374767
ENST00000398846	ENST00000360280	ENST00000361478	ENST00000451251	ENST00000313552
ENST00000245615	ENST00000398846	ENST00000350030	ENST00000333957	ENST00000451251
ENST00000312579	ENST00000245615	ENST00000509093	ENST00000327031	ENST00000333957
ENST00000380591	ENST00000312579	ENST00000374767	ENST00000377126	ENST00000327031
ENST00000361478	ENST00000380591	ENST00000313552	ENST00000370548	ENST00000377126
ENST00000350030	ENST00000361478	ENST00000451251	ENST00000370580	ENST00000370548
ENST00000509093	ENST00000350030	ENST00000333957	ENST00000280098	ENST00000370580
ENST00000374767	ENST00000509093	ENST00000327031	ENST00000376406	ENST00000376406
ENST00000313552	ENST00000374767	ENST00000377126	ENST00000347869	ENST00000347869
ENST00000451251	ENST00000313552	ENST00000370548	ENST00000446488	ENST00000446488
ENST00000333957	ENST00000451251	ENST00000370580	ENST00000240306	ENST00000555938
ENST00000327031	ENST00000333957	ENST00000280098	ENST00000555938	ENST00000338154
ENST00000377126	ENST00000327031	ENST00000532414	ENST00000338154	ENST00000395472
ENST00000370548	ENST00000377126	ENST00000540385	ENST00000265840	ENST00000251607
ENST00000370580	ENST00000370548	ENST00000376406	ENST00000251607	ENST00000300651
ENST00000280098	ENST00000370580	ENST00000347869	ENST00000300651	ENST00000274849
ENST00000532414	ENST00000280098	ENST00000446488	ENST00000274849	ENST00000533028
ENST00000540385	ENST00000532414	ENST00000555938	ENST00000533028	ENST00000371421
ENST00000376406	ENST00000540385	ENST00000338154	ENST00000371421	ENST00000360971
ENST00000347869	ENST00000376406	ENST00000265840	ENST00000360971	ENST00000265316
ENST00000446488	ENST00000347869	ENST00000395472	ENST00000473989	ENST00000312397
ENST00000555938	ENST00000446488	ENST00000251607	ENST00000265316	ENST00000369842
ENST00000338154	ENST00000555938	ENST00000300651	ENST00000312397	ENST00000293443
ENST00000265840	ENST00000338154	ENST00000274849	ENST00000369842	ENST00000304430
ENST00000395472	ENST00000265840	ENST00000533028	ENST00000304430	ENST00000260372
ENST00000251607	ENST00000395472	ENST00000371421	ENST00000260372	ENST00000368662
ENST00000300651	ENST00000251607	ENST00000360971	ENST00000368662	ENST00000270824
ENST00000274849	ENST00000300651	ENST00000473989	ENST00000270824	ENST00000409573
ENST00000533028	ENST00000274849	ENST00000265316	ENST00000409573	ENST00000380198
ENST00000371421	ENST00000533028	ENST00000312397	ENST00000380198	ENST00000373232
ENST00000360971	ENST00000371421	ENST00000369842	ENST00000373232	ENST00000225573
ENST00000473989	ENST00000360971	ENST00000397732	ENST00000225573	ENST00000396930
ENST00000504087	ENST00000473989	ENST00000293443	ENST00000396930	ENST00000325134
ENST00000265316	ENST00000504087	ENST00000304430	ENST00000325134	ENST00000550831
ENST00000312397	ENST00000265316	ENST00000260372	ENST00000379774	ENST00000379774
ENST00000369842	ENST00000312397	ENST00000368662	ENST00000242784	ENST00000242784
ENST00000397732	ENST00000369842	ENST00000270824	ENST00000379303	ENST00000379303
ENST00000307792	ENST00000397732	ENST00000409573	ENST00000487099	ENST00000487099
ENST00000293443	ENST00000307792	ENST00000380198	ENST00000376572	ENST00000376572
ENST00000304430	ENST00000293443	ENST00000373232	ENST00000294129	ENST00000294129
ENST00000260372	ENST00000304430	ENST00000225573	ENST00000622181	ENST00000622181
ENST00000368662	ENST00000260372	ENST00000396930	ENST00000467614	ENST00000604458
ENST00000270824	ENST00000368662	ENST00000325134	ENST00000263816	ENST00000397637
ENST00000409573	ENST00000270824	ENST00000379774	ENST00000604458	ENST00000397033
ENST00000380198	ENST00000409573	ENST00000317568	ENST00000397637	ENST00000393430
ENST00000373232	ENST00000380198	ENST00000242784	ENST00000397033	ENST00000249066
ENST00000225573	ENST00000373232	ENST00000379303	ENST00000393430	ENST00000261819
ENST00000396930	ENST00000225573	ENST00000376572	ENST00000249066	ENST00000215941
ENST00000325134	ENST00000396930	ENST00000294129	ENST00000508342	ENST00000314128
ENST00000379774	ENST00000325134	ENST00000622181	ENST00000261819	ENST00000368336
ENST00000317568	ENST00000379774	ENST00000263816	ENST00000215941	ENST00000217233
ENST00000242784	ENST00000317568	ENST00000604458	ENST00000314128	ENST00000326266
ENST00000379303	ENST00000242784	ENST00000397637	ENST00000368336	ENST00000371486
ENST00000360409	ENST00000379303	ENST00000397033	ENST00000217233	ENST00000380728
ENST00000376572	ENST00000487099	ENST00000393430	ENST00000326266	ENST00000317683
ENST00000276282	ENST00000360409	ENST00000249066	ENST00000371486	ENST00000356770
ENST00000294129	ENST00000376572	ENST00000508342	ENST00000380728	ENST00000288087
ENST00000622181	ENST00000276282	ENST00000610881	ENST00000317683	ENST00000425380
ENST00000263816	ENST00000294129	ENST00000261819	ENST00000356770	ENST00000419445
ENST00000604458	ENST00000622181	ENST00000215941	ENST00000288087	ENST00000370322
ENST00000397637	ENST00000263816	ENST00000314128	ENST00000425380	ENST00000559895
ENST00000397033	ENST00000604458	ENST00000368336	ENST00000419445	ENST00000216452
ENST00000324198	ENST00000397637	ENST00000217233	ENST00000370322	ENST00000367800
ENST00000393430	ENST00000397033	ENST00000326266	ENST00000499023	ENST00000499023
ENST00000249066	ENST00000324198	ENST00000371486	ENST00000398333	ENST00000398333
ENST00000508342	ENST00000393430	ENST00000380728	ENST00000369644	ENST00000369644
ENST00000610881	ENST00000249066	ENST00000588268	ENST00000285814	ENST00000285814
ENST00000261819	ENST00000508342	ENST00000317683	ENST00000357586	ENST00000357586
ENST00000215941	ENST00000610881	ENST00000356770	ENST00000319725	ENST00000319725
ENST00000314128	ENST00000261819	ENST00000288087	ENST00000366844	ENST00000366844
ENST00000368336	ENST00000215941	ENST00000425380	ENST00000333628	ENST00000333628
ENST00000217233	ENST00000314128	ENST00000419445	ENST00000377244	ENST00000377244
ENST00000326266	ENST00000368336	ENST00000370322	ENST00000266077	ENST00000261716
ENST00000371486	ENST00000217233	ENST00000216452	ENST00000178638	ENST00000266077
ENST00000380728	ENST00000326266	ENST00000367800	ENST00000245441	ENST00000245441
ENST00000588268	ENST00000371486	ENST00000499023	ENST00000330884	ENST00000330884
ENST00000317683	ENST00000380728	ENST00000398333	ENST00000308271	ENST00000308271
ENST00000356770	ENST00000317683	ENST00000369644	ENST00000438576	ENST00000438576
ENST00000288087	ENST00000356770	ENST00000285814	ENST00000395781	ENST00000307522
ENST00000425380	ENST00000288087	ENST00000357586	ENST00000532489	ENST00000395781
ENST00000419445	ENST00000425380	ENST00000319725	ENST00000618001	ENST00000532489
ENST00000370322	ENST00000419445	ENST00000542285	ENST00000349533	ENST00000618001
ENST00000559895	ENST00000370322	ENST00000366844	ENST00000256460	ENST00000256460
ENST00000216452	ENST00000559895	ENST00000333628	ENST00000437048	ENST00000437048
ENST00000367800	ENST00000216452	ENST00000377244	ENST00000613071	ENST00000613071
ENST00000499023	ENST00000367800	ENST00000261716	ENST00000411486	ENST00000411486
ENST00000398333	ENST00000499023	ENST00000266077	ENST00000493030	ENST00000493030
ENST00000369644	ENST00000398333	ENST00000178638	ENST00000615575	ENST00000260408
ENST00000285814	ENST00000369644	ENST00000245441	ENST00000260408	ENST00000634944
ENST00000357586	ENST00000285814	ENST00000308271	ENST00000634944	ENST00000305386
ENST00000319725	ENST00000357586	ENST00000438576	ENST00000306103	ENST00000379600
ENST00000542285	ENST00000319725	ENST00000307522	ENST00000379600	ENST00000355832
ENST00000366844	ENST00000542285	ENST00000395781	ENST00000355832	ENST00000262570
ENST00000333628	ENST00000366844	ENST00000532489	ENST00000262570	ENST00000322313
ENST00000377244	ENST00000333628	ENST00000618001	ENST00000322313	ENST00000395728
ENST00000261716	ENST00000377244	ENST00000374866	ENST00000395728	ENST00000405409
ENST00000266077	ENST00000261716	ENST00000349533	ENST00000405409	ENST00000341502
ENST00000178638	ENST00000266077	ENST00000256460	ENST00000203166	ENST00000203166
ENST00000245441	ENST00000178638	ENST00000437048	ENST00000272418	ENST00000272418
ENST00000308271	ENST00000245441	ENST00000613071	ENST00000257430	ENST00000356126
ENST00000438576	ENST00000406870	ENST00000411486	ENST00000356126	ENST00000495880
ENST00000307522	ENST00000308271	ENST00000392547	ENST00000495880	ENST00000264228
ENST00000395781	ENST00000438576	ENST00000493030	ENST00000264228	ENST00000369498
ENST00000532489	ENST00000307522	ENST00000260408	ENST00000369498	ENST00000370277
ENST00000618001	ENST00000395781	ENST00000634944	ENST00000370277	ENST00000357749
ENST00000349533	ENST00000532489	ENST00000305386	ENST00000314890	ENST00000268097
ENST00000256460	ENST00000618001	ENST00000379600	ENST00000357749	ENST00000351817
ENST00000437048	ENST00000349533	ENST00000355832	ENST00000268097	ENST00000511642
ENST00000613071	ENST00000256460	ENST00000262570	ENST00000351817	ENST00000373998
ENST00000411486	ENST00000437048	ENST00000322313	ENST00000511642	ENST00000319863
ENST00000392547	ENST00000613071	ENST00000395728	ENST00000373998	ENST00000366510
ENST00000570495	ENST00000411486	ENST00000405409	ENST00000319863	ENST00000500893
ENST00000493030	ENST00000392547	ENST00000341502	ENST00000300258	ENST00000378313
ENST00000260408	ENST00000570495	ENST00000203166	ENST00000366510	ENST00000265350
ENST00000634944	ENST00000493030	ENST00000272418	ENST00000500893	ENST00000394266
ENST00000305386	ENST00000260408	ENST00000257430	ENST00000378313	ENST00000393667
ENST00000306103	ENST00000634944	ENST00000515673	ENST00000265350	ENST00000342415
ENST00000379600	ENST00000305386	ENST00000356126	ENST00000394266	ENST00000400206
ENST00000355832	ENST00000306103	ENST00000541669	ENST00000393667	ENST00000357529
ENST00000262570	ENST00000379600	ENST00000495880	ENST00000622186	ENST00000221327
ENST00000322313	ENST00000355832	ENST00000264228	ENST00000342415	ENST00000269260
ENST00000395728	ENST00000262570	ENST00000369498	ENST00000400206	ENST00000371873
ENST00000405409	ENST00000530641	ENST00000370277	ENST00000357529	ENST00000217121
ENST00000341502	ENST00000322313	ENST00000357749	ENST00000221327	ENST00000251413
ENST00000203166	ENST00000395728	ENST00000268097	ENST00000269260	ENST00000582401
ENST00000272418	ENST00000405409	ENST00000351817	ENST00000371873	ENST00000371021
ENST00000257430	ENST00000341502	ENST00000511642	ENST00000217121	ENST00000264848
ENST00000515673	ENST00000203166	ENST00000373998	ENST00000251413	ENST00000299697
ENST00000356126	ENST00000272418	ENST00000319863	ENST00000582401	ENST00000304863
ENST00000541669	ENST00000257430	ENST00000300258	ENST00000264848	ENST00000389834
ENST00000495880	ENST00000515673	ENST00000366510	ENST00000304863	ENST00000357348
ENST00000264228	ENST00000356126	ENST00000500893	ENST00000389834	ENST00000185150
ENST00000369498	ENST00000541669	ENST00000378313	ENST00000357348	ENST00000491614
ENST00000370277	ENST00000495880	ENST00000265350	ENST00000185150	ENST00000361807
ENST00000357749	ENST00000264228	ENST00000394266	ENST00000491614	ENST00000373275
ENST00000268097	ENST00000369498	ENST00000393667	ENST00000361807	ENST00000274496
ENST00000351817	ENST00000370277	ENST00000622186	ENST00000373275	ENST00000382361
ENST00000511642	ENST00000357749	ENST00000342415	ENST00000274496	ENST00000373014
ENST00000373998	ENST00000268097	ENST00000400206	ENST00000382361	ENST00000307641
ENST00000319863	ENST00000351817	ENST00000357529	ENST00000373014	ENST00000467087
ENST00000300258	ENST00000511642	ENST00000221327	ENST00000307641	ENST00000257836
ENST00000366510	ENST00000373998	ENST00000269260	ENST00000467087	ENST00000370397
ENST00000500893	ENST00000319863	ENST00000371873	ENST00000370397	ENST00000222224
ENST00000378313	ENST00000300258	ENST00000282588	ENST00000222224	ENST00000261839
ENST00000265350	ENST00000366510	ENST00000217121	ENST00000261839	ENST00000613048
ENST00000394266	ENST00000500893	ENST00000251413	ENST00000367188	ENST00000367188
ENST00000393667	ENST00000378313	ENST00000582401	ENST00000263713	ENST00000263713
ENST00000622186	ENST00000265350	ENST00000371021	ENST00000373783	ENST00000373783
ENST00000342415	ENST00000394266	ENST00000227756	ENST00000310826	ENST00000310826
ENST00000400206	ENST00000393667	ENST00000264848	ENST00000264431	ENST00000563094
ENST00000357529	ENST00000622186	ENST00000299697	ENST00000563094	ENST00000355072
ENST00000221327	ENST00000342415	ENST00000304863	ENST00000222543	ENST00000222543
ENST00000269260	ENST00000400206	ENST00000389834	ENST00000355072	ENST00000397276
ENST00000371873	ENST00000357529	ENST00000357348	ENST00000397276	ENST00000511181
ENST00000282588	ENST00000221327	ENST00000185150	ENST00000511181	ENST00000544974
ENST00000217121	ENST00000269260	ENST00000491614	ENST00000544974	ENST00000404138
ENST00000251413	ENST00000371873	ENST00000361807	ENST00000404138	ENST00000310786
ENST00000582401	ENST00000282588	ENST00000373275	ENST00000310786	ENST00000261245
ENST00000227756	ENST00000217121	ENST00000298573	ENST00000261245	ENST00000372836
ENST00000264848	ENST00000251413	ENST00000274496	ENST00000372836	ENST00000460593
ENST00000304863	ENST00000582401	ENST00000382361	ENST00000460593	ENST00000225972
ENST00000389834	ENST00000227756	ENST00000373014	ENST00000225972	ENST00000308110
ENST00000357348	ENST00000264848	ENST00000307641	ENST00000544547	ENST00000444614
ENST00000185150	ENST00000299697	ENST00000467087	ENST00000308110	ENST00000609116
ENST00000491614	ENST00000304863	ENST00000257836	ENST00000444614	ENST00000579761
ENST00000361807	ENST00000389834	ENST00000370397	ENST00000609116	ENST00000375695
ENST00000373275	ENST00000357348	ENST00000222224	ENST00000579761	ENST00000367202
ENST00000298573	ENST00000185150	ENST00000261839	ENST00000375695	ENST00000542230
ENST00000274496	ENST00000491614	ENST00000613048	ENST00000367202	ENST00000439461
ENST00000382361	ENST00000361807	ENST00000357681	ENST00000226091	ENST00000395863
ENST00000373014	ENST00000373275	ENST00000367188	ENST00000542230	ENST00000370818
ENST00000307641	ENST00000298573	ENST00000263713	ENST00000439461	ENST00000275034
ENST00000467087	ENST00000274496	ENST00000373783	ENST00000298552	ENST00000638572
ENST00000257836	ENST00000382361	ENST00000310826	ENST00000395863	ENST00000279281
ENST00000370397	ENST00000373014	ENST00000563094	ENST00000370818	ENST00000369443
ENST00000222224	ENST00000307641	ENST00000355072	ENST00000275034	ENST00000295628
ENST00000261839	ENST00000467087	ENST00000222543	ENST00000279281	ENST00000389629
ENST00000613048	ENST00000257836	ENST00000397276	ENST00000295628	ENST00000398473
ENST00000357681	ENST00000370397	ENST00000511181	ENST00000389629	ENST00000591806
ENST00000367188	ENST00000222224	ENST00000544974	ENST00000398473	ENST00000349780
ENST00000263713	ENST00000261839	ENST00000404138	ENST00000591806	ENST00000282587
ENST00000267484	ENST00000613048	ENST00000591619	ENST00000349780	ENST00000290650
ENST00000373783	ENST00000357681	ENST00000310786	ENST00000282587	ENST00000378165
ENST00000310826	ENST00000367188	ENST00000261245	ENST00000290650	ENST00000613218
ENST00000264431	ENST00000263713	ENST00000372836	ENST00000378165	ENST00000394272
ENST00000563094	ENST00000267484	ENST00000460593	ENST00000613218	ENST00000368216
ENST00000222543	ENST00000373783	ENST00000225972	ENST00000394272	ENST00000602212
ENST00000355072	ENST00000310826	ENST00000544547	ENST00000368216	ENST00000298767
ENST00000397276	ENST00000264431	ENST00000308110	ENST00000602212	ENST00000578681
ENST00000511181	ENST00000563094	ENST00000444614	ENST00000298767	ENST00000620875
ENST00000544974	ENST00000222543	ENST00000609116	ENST00000578681	ENST00000435675
ENST00000404138	ENST00000355072	ENST00000579761	ENST00000620875	ENST00000367034
ENST00000397821	ENST00000397276	ENST00000375695	ENST00000435675	ENST00000422440
ENST00000308713	ENST00000511181	ENST00000367202	ENST00000367034	ENST00000326974
ENST00000310786	ENST00000544974	ENST00000226091	ENST00000422440	ENST00000588479
ENST00000373644	ENST00000404138	ENST00000542230	ENST00000326974	ENST00000338970
ENST00000261245	ENST00000397821	ENST00000439461	ENST00000588479	ENST00000370986
ENST00000372836	ENST00000308713	ENST00000298552	ENST00000338970	ENST00000395694
ENST00000460593	ENST00000310786	ENST00000395863	ENST00000370986	ENST00000334220
ENST00000225972	ENST00000373644	ENST00000370818	ENST00000395694	ENST00000355451
ENST00000544547	ENST00000261245	ENST00000275034	ENST00000334220	ENST00000374492
ENST00000308110	ENST00000372836	ENST00000279281	ENST00000355451	ENST00000314759
ENST00000444614	ENST00000460593	ENST00000369443	ENST00000381309	ENST00000373475
ENST00000609116	ENST00000225972	ENST00000295628	ENST00000374492	ENST00000216160
ENST00000579761	ENST00000544547	ENST00000389629	ENST00000314759	ENST00000265087
ENST00000375695	ENST00000308110	ENST00000398473	ENST00000373475	ENST00000399959
ENST00000367202	ENST00000444614	ENST00000591806	ENST00000216160	ENST00000354725
ENST00000226091	ENST00000609116	ENST00000349780	ENST00000396057	ENST00000325722
ENST00000542230	ENST00000579761	ENST00000282587	ENST00000265087	ENST00000638088
ENST00000439461	ENST00000375695	ENST00000290650	ENST00000399959	ENST00000344641
ENST00000298552	ENST00000367202	ENST00000394773	ENST00000354725	ENST00000330938
ENST00000395863	ENST00000226091	ENST00000316316	ENST00000325722	ENST00000584307
ENST00000370818	ENST00000542230	ENST00000378165	ENST00000638088	ENST00000327441
ENST00000275034	ENST00000439461	ENST00000294304	ENST00000344641	ENST00000268383
ENST00000279281	ENST00000298552	ENST00000613218	ENST00000330938	ENST00000233379
ENST00000369443	ENST00000395863	ENST00000394272	ENST00000584307	ENST00000303575
ENST00000295628	ENST00000370818	ENST00000368216	ENST00000327441	ENST00000263035
ENST00000389629	ENST00000275034	ENST00000602212	ENST00000268383	ENST00000372979
ENST00000398473	ENST00000279281	ENST00000298767	ENST00000233379	ENST00000369415
ENST00000591806	ENST00000369443	ENST00000578681	ENST00000303575	ENST00000612661
ENST00000508906	ENST00000295628	ENST00000620875	ENST00000263035	ENST00000434291
ENST00000349780	ENST00000389629	ENST00000435675	ENST00000298295	ENST00000269221
ENST00000282587	ENST00000398473	ENST00000367034	ENST00000372979	ENST00000298532
ENST00000290650	ENST00000591806	ENST00000422440	ENST00000612661	ENST00000333924
ENST00000394773	ENST00000508906	ENST00000326974	ENST00000269221	ENST00000254521
ENST00000316316	ENST00000349780	ENST00000588479	ENST00000290295	ENST00000399438
ENST00000378165	ENST00000282587	ENST00000338970	ENST00000298532	ENST00000370994
ENST00000553728	ENST00000290650	ENST00000370986	ENST00000333924	ENST00000314673
ENST00000294304	ENST00000394773	ENST00000395694	ENST00000254521	ENST00000220507
ENST00000613218	ENST00000316316	ENST00000334220	ENST00000399438	ENST00000156471
ENST00000394272	ENST00000378165	ENST00000355451	ENST00000370994	ENST00000418265
ENST00000368216	ENST00000294304	ENST00000381309	ENST00000314673	ENST00000257934
ENST00000602212	ENST00000613218	ENST00000374492	ENST00000220507	ENST00000579016
ENST00000298767	ENST00000394272	ENST00000314759	ENST00000156471	ENST00000380647
ENST00000578681	ENST00000368216	ENST00000373475	ENST00000418265	ENST00000556883
ENST00000620875	ENST00000602212	ENST00000216160	ENST00000257934	ENST00000269499
ENST00000435675	ENST00000298767	ENST00000396057	ENST00000579016	ENST00000335754
ENST00000367034	ENST00000578681	ENST00000265087	ENST00000380647	ENST00000394456
ENST00000422440	ENST00000620875	ENST00000399959	ENST00000556883	ENST00000505658
ENST00000326974	ENST00000435675	ENST00000354725	ENST00000269499	ENST00000396703
ENST00000588479	ENST00000367034	ENST00000613246	ENST00000335754	ENST00000451739
ENST00000338970	ENST00000422440	ENST00000325722	ENST00000394456	ENST00000432587
ENST00000370986	ENST00000326974	ENST00000638088	ENST00000505658	ENST00000622959
ENST00000395694	ENST00000588479	ENST00000344641	ENST00000396703	ENST00000258341
ENST00000334220	ENST00000338970	ENST00000330938	ENST00000451739	ENST00000366862
ENST00000355451	ENST00000370986	ENST00000584307	ENST00000432587	ENST00000383778
ENST00000381309	ENST00000395694	ENST00000327441	ENST00000622959	ENST00000372876
ENST00000374492	ENST00000334220	ENST00000268383	ENST00000258341	ENST00000373779
ENST00000314759	ENST00000355451	ENST00000233379	ENST00000366862	ENST00000335312
ENST00000373475	ENST00000381309	ENST00000303575	ENST00000383778	ENST00000267102
ENST00000216160	ENST00000374492	ENST00000263035	ENST00000372876	ENST00000393261
ENST00000396057	ENST00000314759	ENST00000298295	ENST00000373779	ENST00000319545
ENST00000265087	ENST00000373475	ENST00000306908	ENST00000335312	ENST00000340487
ENST00000399959	ENST00000216160	ENST00000372979	ENST00000267102	ENST00000259963
ENST00000354725	ENST00000396057	ENST00000369415	ENST00000393261	ENST00000406581
ENST00000613246	ENST00000378380	ENST00000612661	ENST00000319545	ENST00000372146
ENST00000325722	ENST00000265087	ENST00000409314	ENST00000340487	ENST00000377990
ENST00000638088	ENST00000399959	ENST00000269221	ENST00000259963	ENST00000366621
ENST00000344641	ENST00000409668	ENST00000298532	ENST00000406581	ENST00000378078
ENST00000330938	ENST00000354725	ENST00000333924	ENST00000372146	ENST00000235310
ENST00000584307	ENST00000613246	ENST00000254521	ENST00000258494	ENST00000328649
ENST00000327441	ENST00000325722	ENST00000399438	ENST00000450536	ENST00000523483
ENST00000268383	ENST00000638088	ENST00000370994	ENST00000366621	ENST00000545173
ENST00000233379	ENST00000344641	ENST00000314673	ENST00000378078	ENST00000366690
ENST00000303575	ENST00000330938	ENST00000264436	ENST00000377990	ENST00000343380
ENST00000263035	ENST00000584307	ENST00000220507	ENST00000235310	ENST00000425394
ENST00000298295	ENST00000327441	ENST00000156471	ENST00000328649	ENST00000282308
ENST00000372979	ENST00000268383	ENST00000418265	ENST00000523483	ENST00000311873
ENST00000369415	ENST00000233379	ENST00000257934	ENST00000545173	ENST00000262518
ENST00000612661	ENST00000303575	ENST00000579016	ENST00000366690	ENST00000231368
ENST00000409314	ENST00000263035	ENST00000380647	ENST00000343380	ENST00000436139
ENST00000434291	ENST00000298295	ENST00000556883	ENST00000425394	ENST00000370282
ENST00000269221	ENST00000372979	ENST00000269499	ENST00000282308	ENST00000378000
ENST00000290295	ENST00000369415	ENST00000335754	ENST00000311873	ENST00000347519
ENST00000298532	ENST00000612661	ENST00000394456	ENST00000262518	ENST00000557008
ENST00000333924	ENST00000409314	ENST00000505658	ENST00000345097	ENST00000376483
ENST00000254521	ENST00000269221	ENST00000396703	ENST00000231368	ENST00000595090
ENST00000399438	ENST00000290295	ENST00000451739	ENST00000436139	ENST00000251157
ENST00000370994	ENST00000298532	ENST00000432587	ENST00000370282	ENST00000537403
ENST00000314673	ENST00000333924	ENST00000622959	ENST00000378000	ENST00000382363
ENST00000264436	ENST00000254521	ENST00000258341	ENST00000347519	ENST00000471115
ENST00000220507	ENST00000399438	ENST00000366862	ENST00000557008	ENST00000218200
ENST00000156471	ENST00000370994	ENST00000265299	ENST00000376483	ENST00000476907
ENST00000418265	ENST00000314673	ENST00000383778	ENST00000595090	ENST00000332439
ENST00000257934	ENST00000264436	ENST00000372876	ENST00000251157	ENST00000349139
ENST00000579016	ENST00000220507	ENST00000373779	ENST00000537403	ENST00000400485
ENST00000380647	ENST00000156471	ENST00000335312	ENST00000382363	ENST00000261789
ENST00000303921	ENST00000418265	ENST00000509734	ENST00000471115	ENST00000219069
ENST00000556883	ENST00000257934	ENST00000267102	ENST00000218200	ENST00000367519
ENST00000269499	ENST00000579016	ENST00000393261	ENST00000476907	ENST00000361720
ENST00000335754	ENST00000380647	ENST00000304658	ENST00000332439	ENST00000380817
ENST00000394456	ENST00000303921	ENST00000319545	ENST00000349139	ENST00000402802
ENST00000505658	ENST00000556883	ENST00000340487	ENST00000400485	ENST00000313408
ENST00000396703	ENST00000269499	ENST00000259963	ENST00000261789	ENST00000396679
ENST00000451739	ENST00000335754	ENST00000406581	ENST00000367519	ENST00000355059
ENST00000432587	ENST00000394456	ENST00000372146	ENST00000361720	ENST00000617204
ENST00000622959	ENST00000505658	ENST00000258494	ENST00000380817	ENST00000252799
ENST00000258341	ENST00000396703	ENST00000450536	ENST00000402802	ENST00000379160
ENST00000366862	ENST00000451739	ENST00000366621	ENST00000313408	ENST00000378387
ENST00000265299	ENST00000432587	ENST00000378078	ENST00000396679	ENST00000410080
ENST00000383778	ENST00000622959	ENST00000377990	ENST00000355059	ENST00000452510
ENST00000372876	ENST00000258341	ENST00000235310	ENST00000617204	ENST00000264036
ENST00000373779	ENST00000366862	ENST00000328649	ENST00000252799	ENST00000606320
ENST00000335312	ENST00000265299	ENST00000523483	ENST00000379160	ENST00000532677
ENST00000509734	ENST00000383778	ENST00000545173	ENST00000378387	ENST00000283882
ENST00000267102	ENST00000372876	ENST00000366690	ENST00000410080	ENST00000378700
ENST00000393261	ENST00000373779	ENST00000343380	ENST00000452510	ENST00000369144
ENST00000304658	ENST00000335312	ENST00000425394	ENST00000264036	ENST00000310850
ENST00000319545	ENST00000509734	ENST00000282308	ENST00000606320	ENST00000398392
ENST00000340487	ENST00000334186	ENST00000356971	ENST00000532677	ENST00000278319
