trans_id	strand	gene_id	gene_name	gene_biotype	gene_start	gene_stop	trans_start	trans_start.1	CDS_length	5UTR_length	3UTR_length	transcript_length	CAI	tAI
ENST00000261413	-	ENSG00000113048	MRPS27	protein_coding	72219409	72320261	41	1285	1245	40	1500	2785	0.721724059813886	0.410240265152859
ENST00000546954	-	ENSG00000170855	TRIAP1	protein_coding	120443961	120446412	41	271	231	40	911	1182	0.841797301151016	0.470444762359452
ENST00000419783	-	ENSG00000233276	GPX1	protein_coding	49357176	49358600	323	934	612	322	212	1146	0	0.395745544860868
ENST00000476371	-	ENSG00000120333	MRPS14	protein_coding	175012958	175023425	18	404	387	17	1711	2115	0.690276427802446	0.350700480722895
ENST00000316939	-	ENSG00000179271	GADD45GIP1	protein_coding	12953119	12957236	25	693	669	24	1089	1782	0.757539360370172	0.413422576136126
ENST00000376215	+	ENSG00000148459	PDSS1	protein_coding	26697659	26746798	54	1301	1248	53	325	1626	0.709579830370619	0.3620632194741
ENST00000340344	+	ENSG00000160194	NDUFV3	protein_coding	42893268	42913304	67	393	327	66	4283	4676	0.745043176268213	0.405227162872671
ENST00000372890	-	ENSG00000167112	TRUB2	protein_coding	128305161	128322742	335	1330	996	334	4389	5719	0.762283431888665	0.382736134559339
ENST00000607484	-	ENSG00000137288	UQCC2	protein_coding	33696761	33711727	42	422	381	41	892	1314	0.802983041407004	0.405092614403932
ENST00000570319	-	ENSG00000004779	NDUFAB1	protein_coding	23581871	23596291	2	472	471	1	413	885	0.682468725008834	0.382178642706929
ENST00000360614	-	ENSG00000196365	LONP1	protein_coding	5691834	5720290	159	3038	2880	158	198	3236	0.829755107314557	0.418287445628091
ENST00000378654	-	ENSG00000136143	SUCLA2	protein_coding	47942656	48001354	86	1477	1392	85	715	2192	0.676072227699952	0.387309653821999
ENST00000313468	+	ENSG00000110717	NDUFS8	protein_coding	68030627	68036644	108	740	633	107	51	791	0.867120411346679	0.420229237234811
ENST00000504148	-	ENSG00000150779	TIMM8B	protein_coding	112084800	112086795	73	324	252	72	495	819	0.779110221774443	0.421450248630526
ENST00000471595	+	ENSG00000114054	PCCB	protein_coding	136250358	136337895	19	1671	1653	18	4419	6090	0.759873821200798	0.384296218416106
ENST00000397722	+	ENSG00000103202	NME4	protein_coding	396725	400746	475	828	354	474	404	1232	0.856102641018074	0.399811766285736
ENST00000380649	-	ENSG00000084754	HADHA	protein_coding	26190635	26244726	131	2422	2292	130	615	3037	0.74555933607859	0.398357082486025
ENST00000482352	-	ENSG00000242485	MRPL20	protein_coding	1405109	1407290	74	541	468	73	508	1049	0.766216594490294	0.378866143662897
ENST00000326925	+	ENSG00000178057	NDUFAF3	protein_coding	49021011	49023495	1135	1689	555	1134	323	2012	0.745469136315049	0.383111582289209
ENST00000372837	+	ENSG00000172586	CHCHD1	protein_coding	73782047	73783371	30	323	294	29	879	1202	0.769122580482653	0.396189627180178
ENST00000081029	+	ENSG00000061794	MRPS35	protein_coding	27710773	27756295	72	1043	972	71	845	1888	0.709742788061818	0.377792279551024
ENST00000402551	-	ENSG00000105552	BCAT2	protein_coding	48795065	48811027	622	1680	1059	621	361	2041	0.830359600066878	0.399980217471637
ENST00000334220	+	ENSG00000119689	DLST	protein_coding	74881893	74903745	62	1423	1362	61	1415	2838	0.758800908628976	0.390276136669791
ENST00000332395	-	ENSG00000182810	DDX28	protein_coding	68021274	68023442	241	1863	1623	240	306	2169	0.737748471611346	0.355374437664882
ENST00000371785	+	ENSG00000122140	MRPS2	protein_coding	135499984	135504673	210	1100	891	209	540	1640	0.800571509598242	0.386608023904543
ENST00000394053	+	ENSG00000065911	MTHFD2	protein_coding	74198562	74217565	81	1133	1053	80	3323	4456	0.717632248958302	0.385544648348509
ENST00000264932	+	ENSG00000073578	SDHA	protein_coding	218241	256700	116	2110	1995	115	280	2390	0.780432782739587	0.38942515631234
ENST00000359655	+	ENSG00000156502	SUPV3L1	protein_coding	69180232	69209098	61	2421	2361	60	63	2484	0.732220940466079	0.382696190726931
ENST00000287022	-	ENSG00000156467	UQCRB	protein_coding	96225920	96235634	105	440	336	104	5135	5575	0.76507907134147	0.409919556428363
